manufacturer,made_in,fx,type,jacks_mounted_on,bypass,battery,voltage,polarity,circuit,tube_equipped,weight_in_kg,famous_users,width_in_cm,height_in_cm,depth_in_cm,gtin_14,additional_fx,based_on_famous_model,series,video,special_features,year,colour,serial_number,manufacturer_part_number,gtin_12,url,name
Electro-Harmonix,USA,Delay,Pedal,Sides,True Bypass,No,9,Center Negative,Digital,No,0.45,Flea,10.2,8.9,12.1,00683274010687,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/delay/1-echo/,#1 Echo
Danelectro,China,Fuzz,Pedal,Top,True Bypass,No,9,Center Negative,Analog,,0.27,,5.8,5.8,11.5,00611820001438,Octaver,FOXX Tone Machine,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/3699-fuzz/,3699 Fuzz
Walrus Audio,USA,Overdrive,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.27,,6.6,5.8,12.1,00852732006474,,385 Bell & Howell Projector,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/385-overdrive/,385 Overdrive
Ibanez,Japan,Fuzz,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.28,,5.1,5.5,9.2,04515276966906,,Ibanez OD-850,MINI Series,https://www.youtube.com/watch?v=Na3VosxDxuo,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/ibanez-850-fuzz-mini/,850 Fuzz Mini
BOSS,Taiwan,Acoustic Simulator,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Digital,No,0.44,,7.3,5.9,12.9,"04957054401399, 00761294401392",,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/acoustic-sim/ac-3-acoustic-simulator/,AC-3 Acoustic Simulator
Earthquaker Devices,USA,Fuzz,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,2.4,,6.3,5.7,11.7,00858933004745,,Sunn Model T,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/earthquaker-acapulco-gold-effects-unit/,Acapulco Gold
Ibanez,Japan,Delay,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.28,"J Mascis, Tash Sultana",5.1,5.5,9.2,04515276838081,,Ibanez AD9,MINI Series,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/delay/ad-mini/,AD Mini
TC Electronic,China,Chorus,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.50,,7.4,5.8,13.2,04033653014953,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/chorus-and-vibrato/afterglow-chorus/,Afterglow Chorus
Earthquaker Devices,USA,Reverb,Pedal,Top,True Bypass,No,9,Center Negative,Digital,No,0.40,,6.4,5.7,12.1,00810019911736,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/reverb/afterneath-v3/,Afterneath V3
Anasounds,France,Tremolo,Pedal,Top,True Bypass,No,9,Center Negative,Analog,No,0.50,,12,8,16,03760257570974,Harmonic Tremolo,,,,Spinner Expression Pedal,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/tremolo/ages/,Ages
Aguilar,USA,Overdrive,Pedal,Top,True Bypass,Yes,9,Center Negative,Analog,No,0.48,"Mikey Way, Justin Meldal Johnsen, Alex Dean, Dick Lövgren, Paulo Jr., Chris Chaney, Tomasz Wróblewski, Rhonda Smith",6.8,5.3,11.3,04017269239764,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/agro/,Agro
Analog Alien,USA,Compressor,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.40,,10,5.8,12.2,,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/compression-and-sustain/alien-comp/,Alien Comp
